Year,NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-,Component1,Component2,Component3,Segment K-means PCA,Segment
2016,Tyreek Hill,KC,WR,7.8,3.5,7.9,16.71,61,83,73.49,599,6,4.7,5.3,-0.7,-0.7663888819604543,-2.154727191051454,-1.8645889787406056,0,first
2018,Ryan Griffin,HOU,TE,5.1,3.4,7.9,7.71,24,43,55.81,305,0,6.8,5.6,1.1,-3.278677883499204,-1.3536767746995269,1.7258727514524146,0,first
2018,Dallas Goedert,PHI,TE,5.2,3.3,7.7,7.74,33,44,75.0,334,4,5.7,5.2,0.5,-2.371723477542574,-1.7744855994675706,0.05798372937150632,0,first
2017,Pierre Garcon,SF,WR,6.2,2.7,9.6,13.1,40,67,59.7,500,0,4.8,4.1,0.7,-1.731021471989175,0.2762333281585335,0.4310309691748954,0,first
2017,Jermaine Gresham,ARI,TE,6.2,2.9,5.9,4.74,33,46,71.74,322,2,4.7,3.9,0.8,-2.7674665481769365,-0.8184515996006506,-0.4889392355727068,0,first
2018,Anthony Miller,CHI,WR,5.2,3.0,11.3,13.71,33,54,61.11,423,7,5.4,5.4,-0.1,-1.1759614578971735,-0.28091973003748943,0.7325595657048276,0,first
2018,Mark Andrews,BAL,TE,5.2,2.9,10.5,11.26,34,50,68.0,552,3,6.5,5.3,1.2,-1.6357279299097436,-1.2170510559065137,1.6360362425603392,0,first
2017,Jesse James,PIT,TE,6.1,3.3,6.8,8.08,43,63,68.25,372,3,4.6,4.5,0.1,-2.1406664671242033,-1.110490715153878,-0.9276250743032458,0,first
2017,JuJu Smith-Schuster,PIT,WR,6.1,2.7,9.5,14.14,58,79,73.42,917,7,7.2,5.2,2.0,0.36003707492264153,-2.471548595399516,1.8238919085709897,0,first
2017,Keelan Cole,JAX,WR,6.0,2.5,12.7,26.28,42,83,50.6,748,3,7.5,5.7,1.8,0.023998401504758668,-0.5311958995819593,3.4626221075104118,0,first
2017,Randall Cobb,GB,WR,6.0,3.7,5.8,13.39,66,92,71.74,653,4,6.7,6.2,0.5,-0.8330863972697385,-3.638227625803244,-0.18403990952060853,0,first
2018,Dante Pettis,SF,WR,5.4,3.4,11.8,13.52,27,45,60.0,467,5,7.6,5.5,2.1,-1.8265959729037196,-1.6981923262132608,3.0039694112035145,0,first
2018,Randall Cobb,GB,WR,5.4,2.9,8.2,8.84,38,61,62.3,383,2,6.5,6.4,0.1,-2.2018808713968063,-1.477853387623646,0.898611431581157,0,first
2017,Benjamin Watson,BAL,TE,5.9,3.3,5.1,10.79,61,79,77.22,522,4,4.6,4.9,-0.3,-1.1260499526596657,-2.0908721223030136,-1.786498840317071,0,first
2017,Austin Seferian-Jenkins,NYJ,TE,5.9,2.9,6.5,12.61,50,74,67.57,357,3,2.7,3.5,-0.8,-1.3564715411438952,0.48461513836412384,-2.2644882959305117,0,first
2018,Willie Snead,BAL,WR,5.4,3.1,8.3,17.0,62,95,65.26,651,1,4.8,4.2,0.7,-0.41933709207056685,-0.7996781138729712,-0.17953646593124536,0,first
2017,Martellus Bennett,NE,TE,5.9,3.1,5.5,6.07,30,44,68.18,286,0,6.0,4.8,1.3,-3.2657318055397337,-1.625873741443285,0.5867692006105256,0,first
2017,Tyrell Williams,LAC,WR,5.9,3.1,13.5,19.56,43,69,62.32,728,4,8.2,7.2,1.0,-0.6828660808594894,-2.2867859910951767,2.7859658765586577,0,first
2018,Will Fuller,HOU,WR,5.4,3.3,14.6,14.93,32,45,71.11,503,4,5.5,4.7,0.8,-1.4314701561009064,-0.504960887281066,1.0539942163732547,0,first
2017,Danny Amendola,NE,WR,5.8,2.9,8.0,13.15,61,86,70.93,659,2,3.7,4.2,-0.5,-0.5952737251599015,-0.40577309311061255,-1.6356094623202948,0,first
2017,Nelson Agholor,PHI,WR,5.8,3.0,10.2,18.33,62,95,65.26,768,8,5.3,5.2,0.1,0.7154859177987921,-1.1765288414449049,0.08258733947874874,0,first
2018,Sammy Watkins,KC,WR,5.5,3.5,8.4,8.76,40,55,72.73,519,3,6.2,6.2,0.0,-2.108513325678446,-2.4270130277327913,0.011066683496419616,0,first
2018,Vance McDonald,PIT,TE,5.5,3.3,5.7,7.85,50,72,69.44,610,4,7.9,5.6,2.4,-1.4456144312432662,-3.4864553030429306,1.9645139219888625,0,first
